UbId,dep,pro,dis,nomUb
010000,01,00,00,Amazonas
010100,01,01,00,Chachapoyas
010101,01,01,01,Chachapoyas
010102,01,01,02,Asuncion
010103,01,01,03,Balsas
010104,01,01,04,Cheto
010105,01,01,05,Chiliquin
010106,01,01,06,Chuquibamba
010107,01,01,07,Granada
010108,01,01,08,Huancas
010109,01,01,09,La Jalca
010110,01,01,10,Leimebamba
010111,01,01,11,Levanto
010112,01,01,12,Magdalena
010113,01,01,13,Mariscal Castilla
010114,01,01,14,Molinopampa
010115,01,01,15,Montevideo
010116,01,01,16,Olleros
010117,01,01,17,Quinjalca
010118,01,01,18,San Francisco de Daguas
010119,01,01,19,San Isidro de Maino
010120,01,01,20,Soloco
010121,01,01,21,Sonche
010200,01,02,00,Bagua
010201,01,02,01,Bagua
010202,01,02,02,Aramango
010203,01,02,03,Copallin
010204,01,02,04,El Parco
010205,01,02,05,Imaza
010206,01,02,06,La Peca
010300,01,03,00,Bongara
010301,01,03,01,Jumbilla
010302,01,03,02,Chisquilla
010303,01,03,03,Churuja
010304,01,03,04,Corosha
010305,01,03,05,Cuispes
010306,01,03,06,Florida
010307,01,03,07,Jazán
010308,01,03,08,Recta
010309,01,03,09,San Carlos
010310,01,03,10,Shipasbamba
010311,01,03,11,Valera
010312,01,03,12,Yambrasbamba
010400,01,04,00,Condorcanqui
010401,01,04,01,Nieva
010402,01,04,02,El Cenepa
010403,01,04,03,Rio Santiago
010500,01,05,00,Luya
010501,01,05,01,Lamud
010502,01,05,02,Camporredondo
010503,01,05,03,Cocabamba
010504,01,05,04,Colcamar
010505,01,05,05,Conila
010506,01,05,06,Inguilpata
010507,01,05,07,Longuita
010508,01,05,08,Lonya Chico
010509,01,05,09,Luya
010510,01,05,10,Luya Viejo
010511,01,05,11,Maria
010512,01,05,12,Ocalli
010513,01,05,13,Ocumal
010514,01,05,14,Pisuquia
010515,01,05,15,Providencia
010516,01,05,16,San Cristobal
010517,01,05,17,San Francisco del Yeso
010518,01,05,18,San Jeronimo
010519,01,05,19,San Juan de Lopecancha
010520,01,05,20,Santa Catalina
010521,01,05,21,Santo Tomas
010522,01,05,22,Tingo
010523,01,05,23,Trita
010600,01,06,00,Rodriguez de Mendoza
010601,01,06,01,San Nicolas
010602,01,06,02,Chirimoto
010603,01,06,03,Cochamal
010604,01,06,04,Huambo
010605,01,06,05,Limabamba
010606,01,06,06,Longar
010607,01,06,07,Mariscal Benavides
010608,01,06,08,Milpuc
010609,01,06,09,Omia
010610,01,06,10,Santa Rosa
010611,01,06,11,Totora
010612,01,06,12,Vista Alegre
010700,01,07,00,Utcubamba
010701,01,07,01,Bagua Grande
010702,01,07,02,Cajaruro
010703,01,07,03,Cumba
010704,01,07,04,El Milagro
010705,01,07,05,Jamalca
010706,01,07,06,Lonya Grande
010707,01,07,07,Yamon
020000,02,00,00,Ancash
020100,02,01,00,Huaraz
020101,02,01,01,Huaraz
020102,02,01,02,Cochabamba
020103,02,01,03,Colcabamba
020104,02,01,04,Huanchay
020105,02,01,05,Independencia
020106,02,01,06,Jangas
020107,02,01,07,La Libertad
020108,02,01,08,Olleros
020109,02,01,09,Pampas
020110,02,01,10,Pariacoto
020111,02,01,11,Pira
020112,02,01,12,Tarica
020200,02,02,00,Aija
020201,02,02,01,Aija
020202,02,02,02,Coris
020203,02,02,03,Huacllan
020204,02,02,04,La Merced
020205,02,02,05,Succha
020300,02,03,00,Antonio Raymondi
020301,02,03,01,Llamellin
020302,02,03,02,Aczo
020303,02,03,03,Chaccho
020304,02,03,04,Chingas
020305,02,03,05,Mirgas
020306,02,03,06,San Juan de Rontoy
020400,02,04,00,Asuncion
020401,02,04,01,Chacas
020402,02,04,02,Acochaca
020500,02,05,00,Bolognesi
020501,02,05,01,Chiquian
020502,02,05,02,Abelardo Pardo Lezameta
020503,02,05,03,Antonio Raymondi
020504,02,05,04,Aquia
020505,02,05,05,Cajacay
020506,02,05,06,Canis
020507,02,05,07,Colquioc
